AcctCode;AcctName
142101;SUSCRIPCIONES POR COBRAR A SOCIOS O ACCIONISTAS
142201;PRÉSTAMOS
148101;DIVERSAS
149101;DIVERSAS
161101;PRÉSTAMOS A TERCEROS SOLES
161102;PRÉSTAMOS A TERCEROS DOLARES
161201;SIN GARANTÍA
162101;COMPAÑÍAS ASEGURADORAS SOLES
162102;COMPAÑÍAS ASEGURADORAS DOLARES
162103;RECLAMACIONES CLIENTES Y PROVEEDORES
162104;RECLAMACIONES A BANCOS
162105;RECLAMACIONES A SUNAT
162201;TRANSPORTADORAS
162301;SERVICIOS PÚBLICOS
162401;RECLAMACIONES A SUNAT
162901;RECLAMACIONES CLIENTES Y PROVEEDORES
162902;RECLAMACIONES A BANCOS
163101;INTERESES SOLES
163102;INTERESES DOLARES
163201;REGALÍAS
163301;DIVIDENDOS
164101;DEPÓSITOS OTORGADOS EN GARANTÍA SOLES
164102;DEPÓSITOS OTORGADOS EN GARANTÍA DOLARES
164103;PRÉSTAMOS DE INSTITUCIONES FINANCIERAS SOLES
164104;PRÉSTAMOS DE INSTITUCIONES FINANCIERAS DOLARES
164201;PRÉSTAMOS DE INSTITUCIONES NO FINANCIERAS
164301;DEPÓSITOS EN GARANTÍA POR ALQUILERES
164901;DEPÓSITOS OTORGADOS EN GARANTÍA SOLES
164902;DEPÓSITOS OTORGADOS EN GARANTÍA DOLARES
165101;INMUEBLES, MAQUINARIA Y EQUIPO
165201;PROPIEDADES DE INVERSIÓN
165301;PROPIEDAD, PLANTA Y EQUIPO
165401;INTANGIBLES
165501;ACTIVOS BIOLÓGICOS
165901;OTROS ACTIVOS INMOVILIZADOS
166101;FACTORING SOLES
166102;FACTORING DOLARES
166111;COSTO
166121;VALOR RAZONABLE
166211;COSTO
166221;VALOR RAZONABLE
167101;PAGOS A CUENTA DEL IMPUESTO A LA RENTA
167201;PAGOS A CUENTA DE ITAN
167301;IGV POR ACREDITAR EN COMPRAS
167401;IGV POR ACREDITAR NO DOMICILIADOS
167501;OBRAS POR IMPUESTOS
168101;OTRAS CUENTAS POR COBRAR DIVERSAS SOLES
168102;OTRAS CUENTAS POR COBRAR DIVERSAS DOLARES
169101;COBRANZA DUDOSA CUENTAS POR COBRAR DIVERSAS - TERCEROS
169901;OTRAS CUENTAS POR COBRAR DIVERSAS SOLES
169902;OTRAS CUENTAS POR COBRAR DIVERSAS DOLARES
171101;PRÉSTAMOS A RELACIONADAS SOLES
171102;PRÉSTAMOS A RELACIONADAS DOLARES
171103;PRÉSTAMOS A RELACIONADAS SOLES
171104;PRÉSTAMOS A RELACIONADAS DOLARES
171201;PRÉSTAMOS A RELACIONADAS SOLES
171202;PRÉSTAMOS A RELACIONADAS DOLARES
172101;INTERESES RELACIONADAS SOLES
172102;INTERESES  RELACIONADAS DOLARES
173101;INTERESES RELACIONADAS SOLES
173102;INTERESES  RELACIONADAS DOLARES
173201;REGALÍAS
173301;DIVIDENDOS
174101;INMUEBLES, MAQUINARIA Y EQUIPO
174102;PRÉSTAMOS DE INSTITUCIONES FINANCIERAS
174201;PRÉSTAMOS DE INSTITUCIONES NO FINANCIERAS
174301;DEPÓSITOS EN GARANTÍA POR ALQUILERES
174901;OTROS DEPÓSITOS EN GARANTÍA
175101;INVERSIÓN MOBILIARIA
175201;PROPIEDADES DE INVERSIÓN
175301;PROPIEDAD, PLANTA Y EQUIPO
175401;INTANGIBLES
175501;ACTIVOS BIOLÓGICOS
175901;OTROS ACTIVOS INMOVILIZADOS
178101;OTRAS CUENTAS POR COBRAR DIVERSAS - RELACIONADAS SOLES
178102;OTRAS CUENTAS POR COBRAR DIVERSAS - RELACIONADAS DOLARES
179101;COBRANZA DUDOSA CUENTAS POR COBRAR DIVERSAS - RELACIONADAS
179102;OTRAS CUENTAS POR COBRAR DIVERSAS - RELACIONADAS DOLARES
181101;INTERESES POR DEVENGAR SOLES
181102;INTERESES POR DEVENGAR DOLARES
181103;IGV DE INTERESES POR DEVENGAR SOLES
181104;IGV DE INTERESES POR DEVENGAR DOLARES
181105;INTERESES POR DEVENGAR FRACCIONAMIENTO
181106;INTERESES PRESTAMO MANUCHAR
182101;SEGUROS CONTRA INCENDIO
182102;SEG. CONTRA ROBO Y ASALTO
182103;SEGURO TRANSPORTE MERCADERIA NS
182104;SEGURO DE VEHICULOS NS
182105;SEGURO ACCID.INDIVIDUALES NS
182106;SEGURO VIDA LEY 4916
182107;SEGURO MEDICO FAMILIAR
182108;SEGURO MUEBLES Y ENSERES - LEASING
182109;SEGUROS MULTIRIESGO NS
182110;SEGURO CAUCION ALMACEN ADUANERO
182111;SEGUROS POR DEVENGAR DOLARES
183101;ALQUILER DE OFICINA Y OTROS
183102;MANTENIMIENTO
184101;ADELANTO PARA GASTO DE VIAJE SOLES
184102;ADELANTO PARA GASTO DE VIAJE DOLARES
184103;ANTICIPOS POR LIQUIDAR SOLES
184104;ANTICIPOS POR LIQUIDAR DOLARES
184105;PRIMAS PAGADAS POR OPCIONES
185101;MANTENIMIENTO DE ACTIVOS INMOVILIZADOS
186101;SUSCRIPCIONES REVISTAS Y DIARIOS
189101;OTROS GASTOS CONTRATADOS POR ANTICIPADO
189102;OTROS GASTOS CONTRATADOS POR ANTICIPADO DOLARES
189103;SUSCRIPCIONES REVISTAS Y DIARIOS
189104;ADELANTO PARA GASTO DE VIAJE DOLARES
189105;ANTICIPOS POR LIQUIDAR SOLES
189106;ANTICIPOS POR LIQUIDAR DOLARES
189107;SUSCRIPCIONES REVISTAS Y DIARIOS
191101;PROVISION COBRANZA DUDOSA CUENTAS POR COBRAR NACIONALES
191102;PROVISION COBRANZA DUDOSA CUENTAS POR COBRAR EXTRANJERO
191103;PROVISION DE COBRANZA DUDOSA CUENTAS POR COBRAR NACIONALES  DOLARES
192101;PROVISIÓN CUENTAS POR COBRAR - RELACIONADAS NACIONALES
192102;PROVISIÓN CUENTAS POR COBRAR - RELACIONADAS EXTRANJERO
193101;PROVISIÓN CUENTAS POR COBRAR - RELACIONADAS NACIONALES
193201;PROVISIÓN CUENTAS POR COBRAR - RELACIONADAS NACIONALES
193301;PROVISIÓN CUENTAS POR COBRAR - RELACIONADAS NACIONALES
193901;PROVISIÓN CUENTAS POR COBRAR - RELACIONADAS NACIONALES
194101;PROVISIÓN CUENTAS POR COBRAR DIVERSAS - TERCEROS
194201;RECLAMACIONES A TERCEROS
194301;INTERESES, REGALÍAS Y DIVIDENDOS
194401;DEPÓSITOS OTORGADOS EN GARANTÍA
194501;VENTA DE ACTIVO INMOVILIZADO
194601;ACTIVOS POR INSTRUMENTOS FINANCIEROS
194901;OTRAS CUENTAS POR COBRAR DIVERSAS
195101;PRÉSTAMOS
